timestamp,dataset,phase,params,channels,n_layers,fc_hidden_dim,n_fc_layers,batch_size,lr,weight_decay,patience,dropout,max_epochs,kappa,best_val_loss,duration_sec,R2_PG_seen,R2_VG_seen,Pacc_PG_seen,Pacc_VG_seen,Physics_MW_seen,R2_PG_unseen,R2_VG_unseen,Pacc_PG_unseen,Pacc_VG_unseen,Physics_MW_unseen,ckpt_path,log_dir,PG_Viol_Rate_seen,VG_Viol_Rate_seen,PG_Viol_Rate_unseen,VG_Viol_Rate_unseen,R2_PG_train,R2_VG_train,Pacc_PG_train,Pacc_VG_train,Physics_MW_train,PG_Viol_Rate_train,VG_Viol_Rate_train
2025-12-16 17:29:31,case39,1,26482,4,2,64,1,32,0.001,0.0,1,0.0,2,0.1,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lightning_logs\version_31\checkpoints\epoch=1-val_loss=0.0000.ckpt,lightning_logs\version_31,0.0,0.06,0.0,0.0,0.2516,0.6934,3.2,3.18,167.216,0.0,0.06
2025-12-16 17:32:54,case39,1,26482,4,2,64,1,32,0.001,0.0,1,0.0,2,0.1,0.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lightning_logs\version_32\checkpoints\epoch=1-val_loss=0.0000.ckpt,lightning_logs\version_32,0.0,0.06,0.0,0.0,0.2516,0.6934,3.2,3.18,167.216,0.0,0.06
2025-12-16 17:35:32,case39,1,26482,4,2,64,1,32,0.001,0.0,1,0.0,2,0.1,0.0,15.4,0.2588,0.7048,2.96,3.45,167.82,0.2095,0.6411,3.16,3.07,172.34,lightning_logs\version_33\checkpoints\epoch=1-val_loss=0.0000.ckpt,lightning_logs\version_33,0.0,0.06,0.0,0.0,0.2516,0.6934,3.2,3.18,167.216,0.0,0.06
2025-12-16 17:37:28,case39,1,26482,4,2,64,1,32,0.001,0.0,1,0.0,1,0.1,0.0,10.1,0.239,0.662,0.0,0.0,169.65,0.1931,0.6392,0.0,0.0,172.9,lightning_logs\version_34\checkpoints\epoch=0-val_loss=0.0000.ckpt,lightning_logs\version_34,0.0,0.0,0.0,0.0,0.2262,0.6538,2.76,2.94,167.7628,0.0,0.0
2025-12-16 17:38:38,case39,1,26482,4,2,64,1,32,0.001,0.0,1,0.0,1,0.1,0.0,9.8,0.239,0.662,0.0,0.0,169.65,0.1931,0.6392,0.0,0.0,172.9,lightning_logs\version_35\checkpoints\epoch=0-val_loss=0.0000.ckpt,lightning_logs\version_35,0.0,0.0,0.0,0.0,0.2262,0.6538,2.76,2.94,167.7628,0.0,0.0
2025-12-16 17:41:07,case39,1,26482,4,2,64,1,32,0.001,0.0,1,0.0,2,0.1,0.0,14.8,0.2588,0.7048,2.96,3.45,167.82,0.2095,0.6411,3.16,3.07,172.34,lightning_logs\version_36\checkpoints\epoch=1-val_loss=0.0000.ckpt,lightning_logs\version_36,0.0,0.06,0.0,0.0,0.2516,0.6934,3.2,3.18,167.216,0.0,0.06
2025-12-16 20:23:36,case6ww,1,29746,8,2,256,1,6,0.001,0.0,20,0.0,25,0.0,0.0,6.4,0.9269,0.9996,70.83,99.93,118.81,0.0,0.0,0.0,0.0,0.0,lightning_logs\version_38\checkpoints\epoch=1-val_loss=0.0000.ckpt,lightning_logs\version_38,0.0,0.0,0.0,0.0,0.9268,0.9996,70.87,99.96,118.6574,0.0,0.0
2025-12-16 20:23:55,case6ww,2,29746,8,2,256,1,6,0.001,0.0,20,0.0,25,1.0,0.0,5.1,0.9269,0.9996,70.83,99.93,118.81,0.0,0.0,0.0,0.0,0.0,lightning_logs\version_38\checkpoints\epoch=1-val_loss=0.0000.ckpt,lightning_logs\version_38,0.0,0.0,0.0,0.0,0.9268,0.9996,70.87,99.96,118.6574,0.0,0.0
2025-12-16 20:45:03,case6ww,1,29746,8,2,256,1,6,0.001,0.0,20,0.0,25,0.0,0.0,777.9,0.9845,0.9998,98.17,99.97,122.62,0.0,0.0,0.0,0.0,0.0,lightning_logs\version_41\checkpoints\epoch=23-val_loss=0.0000.ckpt,lightning_logs\version_41,0.0,0.0,0.0,0.0,0.9882,0.9998,98.65,99.99,122.5122,0.0,0.0
2025-12-16 20:45:21,case6ww,2,29746,8,2,256,1,6,0.001,0.0,20,0.0,25,1.0,0.0,5.0,0.9845,0.9998,98.17,99.97,122.62,0.0,0.0,0.0,0.0,0.0,lightning_logs\version_41\checkpoints\epoch=23-val_loss=0.0000.ckpt,lightning_logs\version_41,0.0,0.0,0.0,0.0,0.9882,0.9998,98.65,99.99,122.5122,0.0,0.0
